sample_id,max_lai,final_shoot_dm,final_ear_dm,mean_top20_theta,seasonal_transpiration_deficit,seasonal_potential_transpiration,seasonal_actual_transpiration,matured,maturity_date
204,4.52,387.453,237.29,0.25938070604692703,0.014780945102666143,387.323,381.598,True,2007-09-28
205,3.54,364.756,250.78,0.26352194681422464,0.01209485989399195,358.086,353.755,True,2007-09-28
206,3.55,361.923,249.13,0.21669143586842238,0.008220388108317045,362.27,359.292,True,2007-09-27
207,3.55,356.768,244.47,0.18696878932544625,0.008333215950868333,354.965,352.007,True,2007-09-27
208,3.55,356.824,244.48,0.18691881150886383,0.008421620740349245,355.751,352.755,True,2007-09-27
209,3.55,357.465,244.99,0.18946479138910077,0.008255169996495004,356.625,353.681,True,2007-09-27
210,3.5,355.988,255.95,0.1875876695740685,0.008275796176554162,355.857,352.912,True,2007-09-27
211,3.42,348.898,257.46,0.23578611362798196,0.009985743000046732,342.288,338.87,True,2007-09-22
212,3.42,348.491,256.09,0.23586381102483214,0.01029610811790549,342.071,338.549,True,2007-09-22
213,3.42,348.641,256.17,0.235819642490518,0.010262884127596461,342.204,338.692,True,2007-09-22
214,3.42,347.545,255.67,0.23004444557012227,0.008438204699207197,343.675,340.775,True,2007-09-22
215,3.45,369.346,277.21,0.22760250697359785,0.009347011533859528,368.567,365.122,True,2007-09-29
216,3.45,363.571,271.06,0.1825589572914829,0.00578890438272972,383.665,381.444,True,2007-09-29
217,3.45,353.082,261.32,0.1568555972350247,0.006506139201490124,374.723,372.285,True,2007-09-29
218,3.45,351.956,260.05,0.1625939298441713,0.01065074748931294,371.711,367.752,True,2007-09-29
219,3.45,352.068,260.01,0.16253319549564985,0.010355498487640613,372.266,368.411,True,2007-09-29
220,3.56,354.35,243.95,0.16432696664406826,0.008637143210447285,371.998,368.785,True,2007-09-28
221,3.56,353.795,243.6,0.165340694511693,0.007042122768999737,377.017,374.362,True,2007-09-28
222,4.49,365.724,215.67,0.1587228330017148,0.014092551269790698,376.44,371.135,True,2007-09-28
223,4.49,365.627,215.69,0.15898775440485327,0.014360056557838896,376.252,370.849,True,2007-09-28
224,5.4,372.416,212.04,0.15247256464411432,0.028627082592102338,390.679,379.495,False,
225,4.98,393.145,247.81,0.18061456852370258,0.008735488703033423,400.55,397.051,True,2007-09-28
